,Column Labels,,,
,Sep,Oct,Nov,Grand Total
Row Labels,,,,
Sum of newDeaths28DaysByPublishDate.x,3,9,6,18
Sum of newDeaths28DaysByDeathDate.y,0,5,7,12
Sum of newDeaths28DaysByPublishDate.y,3,9,10,22
E06000015,,,,
Derby,,,,
Sum of newDeaths28DaysByDeathDate.x,1,17,36,54
Sum of newDeaths28DaysByPublishDate.x,0,16,39,55
Sum of newDeaths28DaysByDeathDate.y,1,17,45,63
Sum of newDeaths28DaysByPublishDate.y,0,16,44,60
E06000016,,,,
Leicester,,,,
Sum of newDeaths28DaysByDeathDate.x,6,13,26,45
Sum of newDeaths28DaysByPublishDate.x,8,13,28,49
Sum of newDeaths28DaysByDeathDate.y,6,13,40,59
Sum of newDeaths28DaysByPublishDate.y,8,13,41,62
E06000017,,,,
Rutland,,,,
Sum of newDeaths28DaysByDeathDate.x,0,3,2,5
Sum of newDeaths28DaysByPublishDate.x,0,1,4,5
Sum of newDeaths28DaysByDeathDate.y,0,3,4,7
Sum of newDeaths28DaysByPublishDate.y,0,1,7,8
E06000018,,,,
Nottingham,,,,
Sum of newDeaths28DaysByDeathDate.x,3,58,40,101
Sum of newDeaths28DaysByPublishDate.x,3,51,48,102
Sum of newDeaths28DaysByDeathDate.y,3,58,65,126
Sum of newDeaths28DaysByPublishDate.y,3,51,60,114
E06000019,,,,
"Herefordshire, County of",,,,
Sum of newDeaths28DaysByDeathDate.x,2,7,3,12
Sum of newDeaths28DaysByPublishDate.x,2,8,5,15
Sum of newDeaths28DaysByDeathDate.y,2,7,6,15
Sum of newDeaths28DaysByPublishDate.y,2,8,11,21
E06000020,,,,
Telford and Wrekin,,,,
Sum of newDeaths28DaysByDeathDate.x,0,8,5,13
Sum of newDeaths28DaysByPublishDate.x,0,7,6,13
Sum of newDeaths28DaysByDeathDate.y,0,9,8,17
Sum of newDeaths28DaysByPublishDate.y,0,7,10,17
E06000021,,,,
Stoke-on-Trent,,,,
Sum of newDeaths28DaysByDeathDate.x,2,24,41,67
Sum of newDeaths28DaysByPublishDate.x,1,17,50,68
Sum of newDeaths28DaysByDeathDate.y,2,24,62,88
Sum of newDeaths28DaysByPublishDate.y,1,17,61,79
E06000022,,,,
Bath and North East Somerset,,,,
Sum of newDeaths28DaysByDeathDate.x,0,2,1,3
Sum of newDeaths28DaysByPublishDate.x,9,10,6,25
Sum of newDeaths28DaysByDeathDate.y,0,2,1,3
Sum of newDeaths28DaysByPublishDate.y,9,10,8,27
E06000023,,,,
"Bristol, City of",,,,
Sum of newDeaths28DaysByDeathDate.x,3,11,17,31
Sum of newDeaths28DaysByPublishDate.x,2,9,20,31
Sum of newDeaths28DaysByDeathDate.y,3,13,24,40
Sum of newDeaths28DaysByPublishDate.y,2,9,28,39
E06000024,,,,
North Somerset,,,,
Sum of newDeaths28DaysByDeathDate.x,4,6,9,19
Sum of newDeaths28DaysByPublishDate.x,4,5,11,20
Sum of newDeaths28DaysByDeathDate.y,4,6,13,23
Sum of newDeaths28DaysByPublishDate.y,4,5,14,23
E06000025,,,,
South Gloucestershire,,,,
Sum of newDeaths28DaysByDeathDate.x,0,6,14,20
Sum of newDeaths28DaysByPublishDate.x,0,6,14,20
Sum of newDeaths28DaysByDeathDate.y,0,5,23,28
Sum of newDeaths28DaysByPublishDate.y,0,6,22,28
E06000026,,,,
Plymouth,,,,
Sum of newDeaths28DaysByDeathDate.x,6,10,4,20
Sum of newDeaths28DaysByPublishDate.x,5,11,6,22
Sum of newDeaths28DaysByDeathDate.y,6,10,13,29
Sum of newDeaths28DaysByPublishDate.y,5,11,8,24
E06000027,,,,
Torbay,,,,
Sum of newDeaths28DaysByDeathDate.x,0,20,9,29
Sum of newDeaths28DaysByPublishDate.x,0,19,10,29
Sum of newDeaths28DaysByDeathDate.y,0,21,11,32
Sum of newDeaths28DaysByPublishDate.y,0,19,14,33
E06000030,,,,
Swindon,,,,
Sum of newDeaths28DaysByDeathDate.x,0,5,4,9
Sum of newDeaths28DaysByPublishDate.x,3,4,5,12
Sum of newDeaths28DaysByDeathDate.y,0,5,7,12
Sum of newDeaths28DaysByPublishDate.y,3,4,6,13
E06000031,,,,
Peterborough,,,,
Sum of newDeaths28DaysByDeathDate.x,3,9,8,20
Sum of newDeaths28DaysByPublishDate.x,3,9,8,20
Sum of newDeaths28DaysByDeathDate.y,3,9,9,21
Sum of newDeaths28DaysByPublishDate.y,3,9,12,24
E06000032,,,,
Luton,,,,
Sum of newDeaths28DaysByDeathDate.x,1,9,11,21
Sum of newDeaths28DaysByPublishDate.x,0,7,14,21
Sum of newDeaths28DaysByDeathDate.y,1,10,12,23
